id,category_name,image,sub_cat_name,sub_cat_size,product_name,product_size,product_price,product_size_price,stocks,ingredients,product_image,units
13,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test4,"half,medium,full",pane1,"half,medium,full",,"100,200,300",100,Servito con patatine fritte e sottaceti,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
13,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test4,,pane1,,120,,100,Servito con patatine fritte e sottaceti,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
13,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test4,,pane1,,120,,100,Servito con patatine fritte e sottaceti,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
13,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test4,,pane1,,120,,100,Servito con patatine fritte e sottaceti,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
5,Skin Care,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,Medicure Packs,,cibi grassi5,,120,,100,Bit di bufalo di fama mondiale,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
6,Skin Care,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,Medicure Packs,,cibi grassi6,,120,,100,Ali di pollo,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
7,Skin Care,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,Medicure Packs,medium,cibi grassi7,medium,,200,100,Ali di bufalo,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,2kg
8,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,medium,product1,medium,,300,100,Bucce di patata,"https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg",2kg
9,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,medium,sorso1,medium,,100,100,Zuppa de Jour fatta in casa o,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805845download,2kg
10,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,tesdt,,sorso2,,120,,100,"Chowder (rosso, bianco o trasparente)",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download,2kg
11,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test3,half,sorso3,,120,,100,Tazza...,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,2kg
12,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,,sorso4,,120,,100,Ciotola,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg,2kg
13,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test4,,pane1,,120,,100,Servito con patatine fritte e sottaceti,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,2kg
14,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,"half,medium,full",pane2,"half,medium,full",,"100,200,300",100,Vero petto di tacchino,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download,2kg
15,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,half,pane3,half,,100,100,Petto di pollo grigliato.,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,2kg
16,Waxing,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,test,half,pane4,half,,200,100,Cheeseburger con pancetta.,https://help.rangeme.com/hc/article_attachments/360006928633/what_makes_a_good_product_image.jpg,2kg
