id,category_name,image,sub_cat_name,sub_cat_size,product_name,product_size,product_price,product_size_price,stocks,ingredients/description,product_image,units
1,south indian,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Aquamarine%20Restaurantasdf220/1665400737.jpeg,Veg,"small, medium,large",Oregano Pizza,"small, medium",,"250,650",500,"pizza, dish of Italian origin consisting of a flattened disk of bread dough topped with some combination of olive oil, oregano, tomato, olives, mozzarella or other cheese, and many other ingredients, baked quickly—usually, in a commercial setting, using a wood-fired oven heated to a very high temperature—and served hot ...24-Aug-2022",https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1665057632.jpeg,2Pieces
2,Non Veg,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1665057632.jpeg,Indian,"small, medium,large",Tandoori Chicken,"small, medium",,"200,300",500,ingredients will be written here,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1665057632.jpeg,2Plate
3,Fast Food,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Cheese Chilly,"half,medium,full",Fast Food1,"half,medium,full",,"100,200,300",100,Servito con patatine fritte e sottaceti,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,2mg
4,Fast Food,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Cheese Chilly,,Fast Food2,,120,,101,Servito con patatine fritte e sottaceti,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,2mg
5,Fast Food,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Cheese Chilly,,Fast Food3,,121,,102,Servito con patatine fritte e sottaceti,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,2mg
6,Veggies,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Veg manchurian,,Veggies1,,122,,103,Ali di pollo,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,2ml
7,Veggies,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Veg manchurian,medium,Veggies2,medium,,200,104,Ali di bufalo,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun1/1649657727facebook.png,100ml
8,Veggies,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Veg manchurian,large,Veggies3,large,,300,105,Bucce di patata,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805751download,300gms
9,Starters,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fritters,medium,Starters1,medium,,100,106,Zuppa de Jour fatta in casa o,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648805845download,100gms
10,Starters,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fritters,,Starters2,,120,,107,"Chowder (rosso, bianco o trasparente)",https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download,100gms
11,Starters,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fritters,half,Starters3,,120,,108,Tazza...,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,100kg
12,Starters,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fritters,,Starters4,,120,,109,Ciotola,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646394170Shake.jpg,120kg
13,Main Course,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fish Fry,,Main Course1,,120,,110,Servito con patatine fritte e sottaceti,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Arun/1647337734istockphoto.jpg,130kg
14,Main Course,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fish Fry,"half,medium,full",Main Course2,"half,medium,full",,"100,200,300",111,Vero petto di tacchino,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/Tango27/1648807821download,450L
15,Main Course,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fish Fry,Half Plate,Main Course3,Half Plate,,100,112,Petto di pollo grigliato.,https://phpstack-102119-2434585.cloudwaysapps.com//storage/staff/staff19/1646393468spring.jpg,350L
16,Main Course,https://phpstack-102119-2648848.cloudwaysapps.com/storage/vendor/Product/Khalsa212/1664880119.jpg,Fish Fry,Full Plate,Main Course4,Full Plate,,850,113,Cheeseburger con pancetta.,https://help.rangeme.com/hc/article_attachments/360006928633/what_makes_a_good_product_image.jpg,220Litre
